model,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,total_cost
MLP (Adaptive Cost-Sensitive Loss),0.9990344440153085,0.6692913385826772,0.8673469387755102,0.7555555555555555,0.9784232770204311,0.8139726092960318,56822,42,13,85,172.0
RandomForest (baseline),0.9996137776061234,0.9418604651162791,0.826530612244898,0.8804347826086957,0.9623458908042677,0.8730432671894707,56859,5,17,81,175.0
